x,y
15.075,59
15.525,96
15.975,54
16.425,62
16.875,61
17.325,51
17.775,47
18.225,51
18.675,52
19.125,41
19.575,29
20.025,30
20.475,26
20.925,33
21.375,33
21.825,20
22.275,26
22.725,20
23.175,21
23.625,20
24.075,17
24.525,18
24.975,25
25.425,19
25.875,11
26.325,22
26.775,14
27.225,19
27.675,15
28.125,15
28.575,14
29.025,12
29.475,9
29.925,14
30.375,13
30.825,15
31.275,13
31.725,13
32.175,12
32.625,11
33.075,10
33.525,14
33.975,12
34.425,2
34.875,8
35.325,7
35.775,4
36.225,4
36.675,15
37.125,8
37.575,6
38.025,5
38.475,12
38.925,8
39.375,9
39.825,12
40.275,9
40.725,8
41.175,10
41.625,2
42.075,6
42.525,6
42.975,7
43.425,6
43.875,10
44.325,4
44.775,6
45.225,3
45.675,6
46.125,4
46.575,7
47.025,9
47.475,4
48.375,5
48.825,9
49.275,4
49.725,4
50.175,4
50.625,4
51.075,7
51.525,9
51.975,3
52.425,7
52.875,4
53.325,3
53.775,6
54.225,6
54.675,4
55.125,3
55.575,3
56.025,4
56.925,7
57.375,5
57.825,3
58.275,2
58.725,3
59.175,2
59.625,1
60.075,211
