x,y
15.125,23
15.375,21
15.625,26
15.875,10
16.125,19
16.375,13
16.625,17
16.875,17
17.125,18
17.375,10
17.625,15
17.875,11
18.125,10
18.375,12
18.625,16
18.875,11
19.125,7
19.375,12
19.625,6
19.875,6
20.125,7
20.375,9
20.625,7
20.875,8
21.125,6
21.375,10
21.625,6
21.875,5
22.125,8
22.375,13
22.625,5
22.875,6
23.125,7
23.375,5
23.625,5
23.875,4
24.125,2
24.375,4
24.625,3
24.875,8
25.125,7
25.375,3
25.625,4
25.875,2
26.125,5
26.375,7
26.625,4
26.875,3
27.125,2
27.375,4
27.625,4
27.875,5
28.125,2
28.375,6
28.625,3
28.875,3
29.125,3
29.375,2
29.625,3
29.875,3
30.125,6
30.375,6
30.625,3
30.875,7
31.125,2
31.375,4
31.625,5
31.875,5
32.125,5
32.375,1
32.625,9
32.875,1
33.125,9
33.375,4
33.625,3
33.875,2
34.125,2
34.375,1
34.875,5
35.375,1
35.625,1
35.875,1
36.125,1
36.375,1
36.625,3
36.875,3
37.125,1
37.375,2
37.625,1
38.375,4
38.625,2
38.875,2
39.375,2
39.625,5
39.875,2
40.125,227
